Category,Fuel,Segment,Euro.Standard,Technology,Pollutant,Mode,Road.Slope,Load,Min.Speed.[km/h],Max.Speed.[km/h],Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,Thita,Reduction.Factor.[%],Bio.Reduction.Factor.[%],120
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,0,1,12,105,-1.0925466732127e-05,-0.000998394141578146,0.358326296565033,2.77770381620195,-0.00031180244039854,0.0419857472193786,0.486523822596652,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,0.02,0,12,105,0.000179605149577531,0.103508669746191,1.42165711402565,-3.16575639705484,0.00677002772477308,0.358421310687214,-1.39641273615401,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,0.02,0.5,12,105,0.000178600506448777,0.0863386531457559,0.684141126215672,-2.550322247673,0.00545741771901666,0.241988165282361,-1.2528062418943,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,0.02,1,12,104,0.000154540518542428,0.0583300379859331,0.557660150271574,-4.67321124245374,0.00309065192622671,0.191217957554031,-1.33042503324003,0,0,0,104
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,0.04,0,12,104,0.000131537351063546,0.0530884672804891,0.564316345170383,-4.38501714780268,0.00287227621474404,0.1744704947607,-1.1815857193899,0,0,0,104
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,0.04,0.5,12,97,1.11960410791563e-05,0.00370588853219755,0.442641101746395,3.04154440538703,-0.000155527331117713,0.0533361134155843,0.52396416898887,0,0,0,97
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,0.04,1,12,86,0.000853492206061226,0.18343669355489,1.91859753316408,0.764494135575895,0.00626232638990487,0.630646984879494,-1.93093578224242,0,0,0,86
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,0.06,0,12,90,0.000849181764684844,0.0142638269097267,-0.049361697582061,-2.77329010980558,0.00478077125073565,-0.0313363700860222,-0.292660311247045,0,0,0,90
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,0.06,0.5,12,78,2.65012848569756e-05,0.00425659667953037,0.386573878873235,2.92361680372827,-0.000182226513345614,0.0448232551533408,0.516620382843081,0,0,0,78
Buses,Diesel,Coaches Articulated >18 t,Euro III,,PM,,0.06,1,12,66,3.1689860913488e-05,-0.00301418823699378,0.0313252808763148,2.6161393988317,0.000138374372797921,-0.0160865892205086,0.488949818914521,0,0,0,66
Buses,Diesel,Coaches Articulated >18 t,Euro III,,FC,,-0.06,0,12,105,5.28607061697154e-06,-0.00203182489543838,1.35398603373586,-4.1670965494509,0.000207429707069214,0.00119454169596832,0.011310202346667,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,FC,,-0.06,0.5,12,105,1.61182747761759e-05,-0.00620401825426594,3.89057911169623,-12.3847784108744,0.000605993515890844,0.00350558402122138,0.0354048082139646,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,FC,,-0.06,1,12,105,1.86396935307555e-05,-0.00714325398811271,4.06279708864351,-13.3543069022985,0.000634633438939595,0.00361220178758445,0.0400598536165928,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,FC,,-0.04,0,12,105,2.11935857604032e-05,-0.00678628319051262,0.607874916053061,5.16358164609503,1.5523050770419e-05,0.00168787626089778,0.0229605758014794,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,FC,,-0.04,0.5,12,105,3.08229878790016e-05,-0.00953884628576648,0.820532234753994,6.17362722238885,2.07756424736183e-05,0.00213223085132773,0.0311002037562888,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,FC,,-0.04,1,12,105,1.39327733082408e-06,-0.0010080771966902,2.54554905090276,-9.53770383599132,0.00027303798370823,0.00235149719551353,0.0194085067698009,0,0,0,105
Buses,Diesel,Coaches Articulated >18 t,Euro III,,FC,,-0.02,0,12,105,-4.39875685000458e-05,0.0459706427104618,3.55132932688063,-10.2215629423008,0.000253216495684731,0.00793288452797909,-0.00411434854145982,0,0,0,105
